product_id,product_name,price,cost,sales,ctr,revenue,profit,roi,month_id
9,Product 009,59.51,41.72,43,0.027,2558.93,764.97,0.4264,102024
25,Product 025,39.93,27.45,27,0.0075,1078.11,336.96,0.4546,12024
4,Product 004,37.67,27.1,10,0.0303,376.7,105.7,0.39,82024
40,Product 040,47.29,33.77,29,0.0141,1371.41,392.08,0.4004,92023
24,Product 024,58.74,44.7,30,0.0143,1762.2,421.2,0.3141,42025
16,Product 016,44.78,27.68,29,0.0237,1298.62,495.9,0.6178,72023
49,Product 049,41.57,29.79,16,0.0191,665.12,188.48,0.3954,12025
11,Product 011,51.56,33.14,22,0.0134,1134.32,405.24,0.5558,102025
31,Product 031,68.44,46.84,46,0.0286,3148.24,993.6,0.4611,112025
35,Product 035,31.19,19.35,14,0.0165,436.66,165.76,0.6119,122023
3,Product 003,43.29,30.4,29,0.046,1255.41,373.81,0.424,32024
35,Product 035,71.2,43.63,26,0.0153,1851.2,716.82,0.6319,92023
15,Product 015,46.64,30.33,16,0.012,746.24,260.96,0.5378,112023
35,Product 035,20.32,17.02,13,0.0204,264.16,42.9,0.1939,72023
50,Product 050,56.69,41.82,28,0.0401,1587.32,416.36,0.3556,112025
49,Product 049,36.88,27.92,17,0.0167,626.96,152.32,0.3209,122025
25,Product 025,27.39,17.81,12,0.0177,328.68,114.96,0.5379,112025
16,Product 016,49.31,37.95,27,0.0054,1331.37,306.72,0.2993,122024
37,Product 037,38.57,26.28,14,0.0262,539.98,172.06,0.4677,12024
44,Product 044,37.37,24.95,19,0.0349,710.03,235.98,0.4978,52023
17,Product 017,35.83,26.24,21,0.0237,752.43,201.39,0.3655,42024
10,Product 010,51.47,36.46,27,0.0192,1389.69,405.27,0.4117,52024
30,Product 030,42.29,32.74,20,0.0163,845.8,191.0,0.2917,22024
23,Product 023,59.45,37.03,23,0.0196,1367.35,515.66,0.6055,32024
3,Product 003,46.25,30.21,20,0.0098,925.0,320.8,0.531,62024
28,Product 028,36.47,24.51,20,0.0256,729.4,239.2,0.488,102024
45,Product 045,53.99,38.11,26,0.0103,1403.74,412.88,0.4167,22024
5,Product 005,54.64,36.75,32,0.0133,1748.48,572.48,0.4868,32024
32,Product 032,17.47,12.15,11,0.0517,192.17,58.52,0.4379,22023
