product_id,product_name,price,cost,sales,ctr,revenue,profit,roi,month_id
21,Product 021,25.17,19.86,42,0.0067,1057.14,223.02,0.2674,062023
26,Product 026,34.86,15.14,38,0.0645,1324.68,749.36,1.3025,102024
4,Product 004,21.62,9.6,53,0.0367,1145.86,637.06,1.2521,032023
53,Product 053,87.12,66.7,31,0.0443,2700.72,633.02,0.3061,072024
7,Product 007,108.48,68.83,13,0.0398,1410.24,515.45,0.5761,012024
38,Product 038,144.13,70.07,1,0.0672,144.13,74.06,1.0569,032023
59,Product 059,77.52,45.45,21,0.0289,1627.92,673.47,0.7056,062024
14,Product 014,170.28,107.05,1,0.0578,170.28,63.23,0.5907,022023
6,Product 006,71.71,27.98,30,0.0347,2151.3,1311.9,1.5629,032024
27,Product 027,49.17,30.35,34,0.0011,1671.78,639.88,0.6201,032023
16,Product 016,136.91,76.97,4,0.0478,547.64,239.76,0.7787,042023
36,Product 036,81.17,33.89,28,0.0675,2272.76,1323.84,1.3951,032024
4,Product 004,26.16,13.9,46,0.0118,1203.36,563.96,0.882,042025
37,Product 037,68.17,32.16,24,0.0141,1636.08,864.24,1.1197,052023
15,Product 015,23.74,16.32,48,0.0374,1139.52,356.16,0.4547,102024
41,Product 041,4.61,3.18,58,0.0642,267.38,82.94,0.4497,082024
4,Product 004,26.58,14.3,47,0.0126,1249.26,577.16,0.8587,082024
38,Product 038,181.54,114.26,0,0.0292,0,0,,022024
4,Product 004,28.07,16.84,45,0.0611,1263.15,505.35,0.6669,082023
3,Product 003,47.23,14.34,33,0.0054,1558.59,1085.37,2.2936,072024
55,Product 055,260.16,185.81,1,0.0192,260.16,74.35,0.4001,052023
19,Product 019,210.96,132.82,0,0.0187,0,0,,032024
10,Product 010,21.25,14.69,51,0.0431,1083.75,334.56,0.4466,072024
8,Product 008,72.09,50.35,34,0.0359,2451.06,739.16,0.4318,082024
20,Product 020,8.27,3.18,50,0.0444,413.5,254.5,1.6006,072024
53,Product 053,124.66,47.66,4,0.0296,498.64,308,1.6156,112024
12,Product 012,91.19,59.12,18,0.0272,1641.42,577.26,0.5425,042023
38,Product 038,98.28,58.49,14,0.0666,1375.92,557.06,0.6803,082024
41,Product 041,12.45,8.54,54,0.0699,672.3,211.14,0.4578,072023
24,Product 024,49.47,15.43,29,0.0105,1434.63,987.16,2.2061,042023
36,Product 036,81.43,39.12,21,0.0422,1710.03,888.51,1.0815,122024
5,Product 005,46.03,26.12,31,0.0137,1426.93,617.21,0.7623,072024
4,Product 004,23.49,11.49,49,0.0302,1151.01,588,1.0444,092024
14,Product 014,34.66,14.43,37,0.0406,1282.42,748.51,1.4019,052024
44,Product 044,30.16,18.85,41,0.0059,1236.56,463.71,0.6,062024
28,Product 028,87.52,58.85,30,0.0237,2625.6,860.1,0.4872,032025
21,Product 021,21.69,13.63,58,0.0479,1258.02,467.48,0.5913,042024
38,Product 038,209.07,66.86,4,0.0253,836.28,568.84,2.127,042024
24,Product 024,44.97,15.56,44,0.0361,1978.68,1294.04,1.8901,112023
16,Product 016,15.3,5.39,48,0.0507,734.4,475.68,1.8386,032025
12,Product 012,130.56,48.68,10,0.0521,1305.6,818.8,1.682,122024
50,Product 050,45.11,20.54,39,0.0372,1759.29,958.23,1.1962,092023
6,Product 006,7.88,2.5,53,0.0716,417.64,285.14,2.152,082024
20,Product 020,7.91,4.74,38,0.0589,300.58,120.46,0.6688,062024
32,Product 032,13.02,9.61,42,0.0519,546.84,143.22,0.3548,062025
22,Product 022,4.68,2.17,34,0.0775,159.12,85.34,1.1567,012025
29,Product 029,22.6,10.15,52,0.0625,1175.2,647.4,1.2266,102023
39,Product 039,112.76,41.43,21,0.0044,2367.96,1497.93,1.7217,032023
8,Product 008,54.87,36.53,32,0.0094,1755.84,586.88,0.5021,062024
27,Product 027,74.19,27.79,19,0.0047,1409.61,881.6,1.6697,062023
49,Product 049,26.56,10.82,40,0.0799,1062.4,629.6,1.4547,122023
10,Product 010,77.03,24.95,22,0.0714,1694.66,1145.76,2.0874,052024
27,Product 027,67.85,33.88,34,0.0087,2306.9,1154.98,1.0027,022023
43,Product 043,45.27,20.34,34,0.0668,1539.18,847.62,1.2257,032023
49,Product 049,99.04,48.24,20,0.0387,1980.8,1016,1.0531,072024
37,Product 037,37.74,13.28,32,0.026,1207.68,782.72,1.8419,032025
57,Product 057,129.49,41.37,3,0.0543,388.47,264.36,2.13,042025
21,Product 021,20.03,7.67,40,0.0394,801.2,494.4,1.6115,122023
45,Product 045,70.87,25.16,20,0.0234,1417.4,914.2,1.8168,122023
39,Product 039,206.39,138.35,0,0.0415,0,0,,052024
38,Product 038,184.67,65.39,1,0.0648,184.67,119.28,1.8241,032025
30,Product 030,113.61,62.32,8,0.0648,908.88,410.32,0.823,032023
54,Product 054,51.84,19.37,33,0.0292,1710.72,1071.51,1.6763,042023
18,Product 018,70.78,37.52,23,0.0383,1627.94,764.98,0.8865,042024
45,Product 045,31.74,24.26,33,0.0519,1047.42,246.84,0.3083,112024
5,Product 005,2.31,1.02,48,0.0281,110.88,61.92,1.2647,032023
47,Product 047,80.81,38.82,23,0.0345,1858.63,965.77,1.0817,122024
20,Product 020,7.49,4.91,48,0.0355,359.52,123.84,0.5255,102024
37,Product 037,39.78,19.42,45,0.0187,1790.1,916.2,1.0484,112024
53,Product 053,83.8,39.78,23,0.0761,1927.4,1012.46,1.1066,042024
19,Product 019,134.4,77.79,8,0.0734,1075.2,452.88,0.7277,012025
25,Product 025,7.6,3.31,44,0.0765,334.4,188.76,1.2961,062025
43,Product 043,1.39,0.68,60,0.0119,83.4,42.6,1.0441,122023
2,Product 002,33.35,14.15,36,0.0455,1200.6,691.2,1.3569,042024
23,Product 023,33.1,25.42,46,0.0173,1522.6,353.28,0.3021,062023
40,Product 040,1.68,0.85,52,0.0209,87.36,43.16,0.9765,042023
32,Product 032,29.99,21.92,44,0.0563,1319.56,355.08,0.3682,032023
14,Product 014,67.55,37.82,28,0.0396,1891.4,832.44,0.7861,022025
19,Product 019,132.12,72.95,3,0.0195,396.36,177.51,0.8111,052023
48,Product 048,64.65,45.22,31,0.0073,2004.15,602.33,0.4297,092023
26,Product 026,29.53,23.05,41,0.0379,1210.73,265.68,0.2811,022024
