product_id,product_name,price,cost,sales,ctr,revenue,profit,roi,month_id
45,Product 045,44.88,33.21,24,0.0077,1077.12,280.08,0.3514,102024
34,Product 034,42.24,29.57,25,0.0624,1056.0,316.75,0.4285,52024
6,Product 006,46.55,34.86,27,0.0223,1256.85,315.63,0.3353,22024
4,Product 004,39.59,31.82,21,0.0154,831.39,163.17,0.2442,102025
1,Product 001,35.48,23.97,14,0.0493,496.72,161.14,0.4802,92023
35,Product 035,52.54,36.27,27,0.0185,1418.58,439.29,0.4486,72023
47,Product 047,43.95,29.89,8,0.0171,351.6,112.48,0.4704,62023
8,Product 008,24.04,17.27,11,0.0145,264.44,74.47,0.392,122025
48,Product 048,31.26,21.18,12,0.0279,375.12,120.96,0.4759,82025
8,Product 008,41.83,30.49,14,0.0217,585.62,158.76,0.3719,42024
29,Product 029,38.64,25.76,17,0.0152,656.88,218.96,0.5,122024
44,Product 044,39.91,32.15,16,0.0061,638.56,124.16,0.2414,42023
9,Product 009,52.77,36.82,34,0.0198,1794.18,542.3,0.4332,12023
45,Product 045,35.02,23.49,18,0.0148,630.36,207.54,0.4908,112025
38,Product 038,30.33,21.82,10,0.0278,303.3,85.1,0.39,42024
18,Product 018,43.81,29.29,22,0.0179,963.82,319.44,0.4957,42024
48,Product 048,41.54,26.5,29,0.0306,1204.66,436.16,0.5675,12025
49,Product 049,42.89,32.3,9,0.0124,386.01,95.31,0.3279,82023
44,Product 044,21.08,15.22,7,0.0134,147.56,41.02,0.385,32024
46,Product 046,50.73,39.36,23,0.0175,1166.79,261.51,0.2889,92025
13,Product 013,40.94,26.97,15,0.012,614.1,209.55,0.518,42025
43,Product 043,41.98,28.97,20,0.0211,839.6,260.2,0.4491,32023
5,Product 005,43.17,31.3,24,0.0115,1036.08,284.88,0.3792,32025
29,Product 029,44.59,30.33,25,0.0217,1114.75,356.5,0.4702,72024
16,Product 016,46.65,33.49,18,0.0218,839.7,236.88,0.393,32024
32,Product 032,52.05,37.57,23,0.0178,1197.15,333.04,0.3854,122024
7,Product 007,45.48,32.54,36,0.02,1637.28,465.84,0.3977,62024
21,Product 021,26.37,16.7,11,0.0091,290.07,106.37,0.579,72025
12,Product 012,43.54,30.63,22,0.0222,957.88,284.02,0.4215,72023
38,Product 038,50.94,36.98,18,0.0501,916.92,251.28,0.3775,22024
25,Product 025,39.29,27.06,20,0.0209,785.8,244.6,0.452,32025
41,Product 041,42.49,32.74,23,0.0338,977.27,224.25,0.2978,82023
12,Product 012,30.76,23.21,15,0.0102,461.4,113.25,0.3253,102024
24,Product 024,49.15,32.11,24,0.0198,1179.6,408.96,0.5307,42024
38,Product 038,35.2,25.56,14,0.0179,492.8,134.96,0.3772,52024
26,Product 026,49.52,35.89,30,0.042,1485.6,408.9,0.3798,102025
8,Product 008,53.5,43.04,22,0.0119,1177.0,230.12,0.243,52023
28,Product 028,48.51,32.24,28,0.022,1358.28,455.56,0.5047,62025
39,Product 039,23.21,15.82,8,0.0228,185.68,59.12,0.4671,62025
29,Product 029,49.31,36.79,26,0.02,1282.06,325.52,0.3403,62024
9,Product 009,33.85,24.04,20,0.0148,677.0,196.2,0.4081,62024
18,Product 018,20.35,15.32,14,0.046,284.9,70.42,0.3283,52025
38,Product 038,56.18,40.98,31,0.053,1741.58,471.2,0.3709,122023
30,Product 030,39.96,31.48,13,0.0414,519.48,110.24,0.2694,32024
4,Product 004,24.26,18.18,21,0.0492,509.46,127.68,0.3344,62024
44,Product 044,37.9,26.73,26,0.0095,985.4,290.42,0.4179,122025
27,Product 027,51.46,40.56,22,0.0223,1132.12,239.8,0.2687,72023
11,Product 011,36.73,25.83,18,0.0417,661.14,196.2,0.422,72024
2,Product 002,29.28,19.98,19,0.0256,556.32,176.7,0.4655,72023
31,Product 031,38.48,24.5,17,0.008,654.16,237.66,0.5706,102024
21,Product 021,61.23,47.55,39,0.0126,2387.97,533.52,0.2877,72024
44,Product 044,42.27,26.69,20,0.0243,845.4,311.6,0.5837,92023
33,Product 033,37.68,27.29,27,0.0179,1017.36,280.53,0.3807,12023
35,Product 035,33.25,20.83,15,0.0248,498.75,186.3,0.5963,102023
27,Product 027,25.98,16.86,10,0.0246,259.8,91.2,0.5409,32024
32,Product 032,40.98,28.26,24,0.0238,983.52,305.28,0.4501,122025
46,Product 046,62.47,41.4,43,0.0168,2686.21,906.01,0.5089,72024
32,Product 032,43.52,33.36,21,0.0381,913.92,213.36,0.3046,122024
11,Product 011,37.56,26.17,15,0.0221,563.4,170.85,0.4352,22025
2,Product 002,44.07,33.0,15,0.0362,661.05,166.05,0.3355,22025
14,Product 014,22.84,14.22,9,0.0213,205.56,77.58,0.6062,72023
49,Product 049,55.92,40.27,35,0.0104,1957.2,547.75,0.3886,82024
42,Product 042,44.73,30.73,24,0.0216,1073.52,336.0,0.4556,112023
32,Product 032,41.65,28.84,18,0.0163,749.7,230.58,0.4442,32024
22,Product 022,55.78,39.31,22,0.012,1227.16,362.34,0.419,52024
7,Product 007,31.04,23.51,18,0.0141,558.72,135.54,0.3203,82023
47,Product 047,57.49,43.14,35,0.0348,2012.15,502.25,0.3326,122024
35,Product 035,36.83,26.96,21,0.008,773.43,207.27,0.3661,52025
13,Product 013,58.08,39.26,16,0.0174,929.28,301.12,0.4794,72025
23,Product 023,44.77,29.26,17,0.0419,761.09,263.67,0.5301,72023
27,Product 027,28.91,20.19,12,0.0289,346.92,104.64,0.4319,12025
50,Product 050,40.27,26.67,21,0.024,845.67,285.6,0.5099,92024
26,Product 026,40.46,26.25,22,0.0124,890.12,312.62,0.5413,122024
34,Product 034,44.62,35.66,22,0.0272,981.64,197.12,0.2513,112023
10,Product 010,41.7,27.77,19,0.0478,792.3,264.67,0.5016,32025
4,Product 004,54.72,41.41,41,0.0214,2243.52,545.71,0.3214,122024
31,Product 031,47.99,31.68,31,0.0239,1487.69,505.61,0.5148,52025
33,Product 033,42.99,28.66,30,0.0253,1289.7,429.9,0.5,122024
44,Product 044,49.49,34.07,34,0.01,1682.66,524.28,0.4526,62025
50,Product 050,42.91,28.3,30,0.04,1287.3,438.3,0.5163,22023
2,Product 002,39.46,31.33,21,0.0314,828.66,170.73,0.2595,62024
40,Product 040,32.13,21.58,13,0.0105,417.69,137.15,0.4889,92023
23,Product 023,38.52,27.15,19,0.015,731.88,216.03,0.4188,92025
10,Product 010,43.51,37.88,18,0.029,783.18,101.34,0.1486,42025
26,Product 026,79.6,56.32,35,0.0073,2786.0,814.8,0.4134,12025
19,Product 019,55.37,39.77,21,0.0155,1162.77,327.6,0.3923,52025
1,Product 001,40.77,24.78,20,0.0322,815.4,319.8,0.6453,32024
50,Product 050,35.2,24.82,17,0.0209,598.4,176.46,0.4182,72024
28,Product 028,50.02,30.35,30,0.0233,1500.6,590.1,0.6481,42023
40,Product 040,32.76,21.86,8,0.0202,262.08,87.2,0.4986,92025
50,Product 050,46.2,30.08,29,0.0421,1339.8,467.48,0.5359,122025
5,Product 005,43.42,31.87,22,0.0109,955.24,254.1,0.3624,122024
40,Product 040,35.55,27.15,16,0.0178,568.8,134.4,0.3094,62024
48,Product 048,47.57,33.6,17,0.0198,808.69,237.49,0.4158,52025
28,Product 028,22.29,13.98,9,0.0112,200.61,74.79,0.5944,62024
22,Product 022,42.73,25.78,17,0.0199,726.41,288.15,0.6575,32023
29,Product 029,35.35,26.45,15,0.0248,530.25,133.5,0.3365,52025
23,Product 023,43.05,32.33,19,0.0436,817.95,203.68,0.3316,22025
38,Product 038,16.92,12.4,5,0.0132,84.6,22.6,0.3645,82025
40,Product 040,54.57,40.58,30,0.0201,1637.1,419.7,0.3448,22025
16,Product 016,38.01,21.32,18,0.0115,684.18,300.42,0.7828,32025
28,Product 028,42.4,28.76,22,0.0141,932.8,300.08,0.4743,92023
30,Product 030,19.03,13.98,7,0.0219,133.21,35.35,0.3612,52025
10,Product 010,48.74,31.64,18,0.0334,877.32,307.8,0.5405,92025
26,Product 026,54.82,40.59,27,0.0113,1480.14,384.21,0.3506,122025
46,Product 046,53.18,42.13,30,0.0108,1595.4,331.5,0.2623,72025
36,Product 036,62.69,41.68,25,0.0211,1567.25,525.25,0.5041,62023
4,Product 004,35.84,22.29,19,0.082,680.96,257.45,0.6079,22023
4,Product 004,45.7,31.56,16,0.0151,731.2,226.24,0.448,92023
15,Product 015,32.09,22.32,17,0.0287,545.53,166.09,0.4377,52025
15,Product 015,50.83,37.46,21,0.0205,1067.43,280.77,0.3569,72024
21,Product 021,36.4,26.02,17,0.016,618.8,176.46,0.3989,82025
18,Product 018,44.95,27.33,12,0.0233,539.4,211.44,0.6447,22023
23,Product 023,32.24,23.75,22,0.0203,709.28,186.78,0.3575,122023
28,Product 028,50.36,35.54,35,0.0535,1762.6,518.7,0.417,22023
19,Product 019,52.12,38.64,19,0.0136,990.28,256.12,0.3489,112025
42,Product 042,45.29,29.7,19,0.0287,860.51,296.21,0.5249,92024
14,Product 014,40.67,28.69,15,0.0103,610.05,179.7,0.4176,52023
49,Product 049,52.68,41.37,20,0.0342,1053.6,226.2,0.2734,42023
19,Product 019,42.47,30.41,15,0.0191,637.05,180.9,0.3966,92023
49,Product 049,40.06,25.94,33,0.0183,1321.98,465.96,0.5443,112023
33,Product 033,32.19,21.15,15,0.0066,482.85,165.6,0.522,42024
26,Product 026,48.72,39.8,23,0.0129,1120.56,205.16,0.2241,62025
28,Product 028,30.81,17.98,10,0.0171,308.1,128.3,0.7136,12025
49,Product 049,31.32,25.27,17,0.0254,532.44,102.85,0.2394,122023
35,Product 035,43.92,25.56,34,0.029,1493.28,624.24,0.7183,102025
47,Product 047,46.62,29.68,32,0.0741,1491.84,542.08,0.5708,102025
49,Product 049,32.68,29.41,19,0.0053,620.92,62.13,0.1112,12024
49,Product 049,42.85,30.34,22,0.013,942.7,275.22,0.4123,92025
12,Product 012,48.98,34.33,29,0.023,1420.42,424.85,0.4267,12025
28,Product 028,35.29,24.31,18,0.0119,635.22,197.64,0.4517,122024
13,Product 013,27.3,18.15,15,0.0454,409.5,137.25,0.5041,12025
8,Product 008,49.61,38.32,23,0.0198,1141.03,259.67,0.2946,42024
23,Product 023,59.31,43.62,38,0.033,2253.78,596.22,0.3597,62025
26,Product 026,60.24,36.68,26,0.0255,1566.24,612.56,0.6423,32023
26,Product 026,51.66,33.67,26,0.026,1343.16,467.74,0.5343,12023
22,Product 022,59.48,41.24,30,0.0161,1784.4,547.2,0.4423,12024
47,Product 047,47.2,30.73,27,0.0075,1274.4,444.69,0.536,72024
45,Product 045,56.32,42.67,20,0.0234,1126.4,273.0,0.3199,92024
13,Product 013,40.9,28.04,20,0.0131,818.0,257.2,0.4586,22024
12,Product 012,22.8,14.47,6,0.0156,136.8,49.98,0.5757,102025
34,Product 034,54.05,39.89,22,0.0546,1189.1,311.52,0.355,12025
16,Product 016,46.87,30.61,34,0.016,1593.58,552.84,0.5312,72023
18,Product 018,52.13,38.86,23,0.0248,1198.99,305.21,0.3415,112023
10,Product 010,30.67,21.42,32,0.0145,981.44,296.0,0.4318,112023
41,Product 041,29.54,19.96,10,0.0089,295.4,95.8,0.48,92023
5,Product 005,37.82,27.81,20,0.0372,756.4,200.2,0.3599,112024
6,Product 006,54.13,43.25,29,0.0221,1569.77,315.52,0.2516,72024
3,Product 003,45.77,36.69,18,0.014,823.86,163.44,0.2475,42025
22,Product 022,46.76,33.66,28,0.016,1309.28,366.8,0.3892,122024
24,Product 024,59.09,42.95,29,0.0243,1713.61,468.06,0.3758,32024
